name,industry,employees,email,linkedin,location,website,tags,score
Veltrix Ltd,Blockchain,500-1000,contact@veltrixltd.solutions,,Singapore,https://veltrixltd.solutions,"scale-up, AI",56
Finverse Ltd,EdTech,201-500,contact@finverseltd.systems,https://linkedin.com/company/finverseltd,Toronto,https://finverseltd.systems,funded,79
Bluemind Group,Biotech,1000+,contact@bluemindgroup.systems,https://linkedin.com/company/bluemindgroup,Berlin,https://bluemindgroup.systems,"remote, enterprise, growth, open roles",63
Hireflow Labs,Fintech,201-500,contact@hireflowlabs.solutions,https://linkedin.com/company/hireflowlabs,Toronto,https://hireflowlabs.solutions,"AI, scale-up, open roles, remote",63
Quantivo Inc,Cybersecurity,11-50,contact@quantivoinc.corp,https://linkedin.com/company/quantivoinc,Singapore,https://quantivoinc.corp,enterprise,75
Omnidata Group,Education,11-50,contact@omnidatagroup.global,https://linkedin.com/company/omnidatagroup,Jakarta,https://omnidatagroup.global,funded,82
Omnidata Inc,Healthcare,500-1000,contact@omnidatainc.solutions,https://linkedin.com/company/omnidatainc,Singapore,https://omnidatainc.solutions,"growth, AI, hiring, enterprise",82
Zentrix,Cybersecurity,11-50,contact@zentrix.systems,,Singapore,https://zentrix.systems,"scale-up, remote",56
Healthiq Ltd,Blockchain,500-1000,,,London,https://healthiqltd.corp,"remote, funded",66
Bluemind Labs,Cybersecurity,500-1000,contact@bluemindlabs.tech,https://linkedin.com/company/bluemindlabs,London,https://bluemindlabs.tech,"scale-up, hiring",68
Finverse,Education,51-200,contact@finverse.global,https://linkedin.com/company/finverse,Singapore,https://finverse.global,open roles,63
Brainify,SaaS,51-200,contact@brainify.systems,https://linkedin.com/company/brainify,San Francisco,https://brainify.systems,"hiring, scale-up, remote, enterprise",64
Auralink Labs,Education,1000+,contact@auralinklabs.tech,https://linkedin.com/company/auralinklabs,San Francisco,https://auralinklabs.tech,"funded, open roles, hiring, remote",87
Veltrix Group,Fintech,201-500,contact@veltrixgroup.corp,https://linkedin.com/company/veltrixgroup,Singapore,https://veltrixgroup.corp,"AI, enterprise, funded, open roles",91
Nexora Inc,Education,51-200,contact@nexorainc.systems,https://linkedin.com/company/nexorainc,San Francisco,https://nexorainc.systems,"scale-up, funded",78
Zentrix,Fintech,51-200,contact@zentrix.global,https://linkedin.com/company/zentrix,Toronto,https://zentrix.global,"growth, enterprise, AI, open roles",72
Brainify Ltd,SaaS,201-500,contact@brainifyltd.corp,https://linkedin.com/company/brainifyltd,London,https://brainifyltd.corp,"hiring, remote",58
Finverse Ltd,Cybersecurity,500-1000,contact@finverseltd.corp,,Toronto,https://finverseltd.corp,remote,61
Zentrix Inc,EdTech,51-200,contact@zentrixinc.systems,https://linkedin.com/company/zentrixinc,Berlin,https://zentrixinc.systems,remote,67
