name,industry,summary,employees,tags,linkedin,location,tech_stack,website,email,phone,contact_page,score,has_email,has_linkedin,predicted_score
Hunter Digital Marketing Agency - Social Media & Search Marketing Agency in New York,Digital Marketing,NYC-based Digital Marketing Agency focused on growing DTC & ecommerce brands.,0,Hiring,,New York City,,https://hunterdigitalmarketing.com/,,(212) 202-1431,,73,0,0,55
Leadige Media Group,Digital Marketing,Leadige is a results-driven digital marketing agency that focuses on driving real conversions and profits for businesses.,0,"B2B Marketing, Lead Generation, Outbound Email Marketing, LinkedIn Outreach",Not mentioned,Not mentioned,"Web Design, SEO, PPC, UX/UI Design, Web3 Projects Design, Mobile App Design",https://leadige.com/,Talkhello@leadige.comMon-Fri,,Not found,52,1,1,68
Chatter Buzz - Advertising Agency,Marketing and Advertising,Chatter Buzz Media is a multicultural marketing and advertising agency that builds magnetic brands and compelling campaigns to ignite record-setting revenue.,0,hiring,Not mentioned,"Orlando, Florida",Not specified,http://www.chatterbuzzmedia.com/new-york-city-digital-marketing-advertising-agency/,,321-341-2327,https://www.chatterbuzzmedia.com/contact-us/,70,0,1,66
DS&P Digital Marketing Agency,Digital Marketing,DS&P Digital Marketing Agency is an award-winning digital marketing agency that helps businesses increase their revenue through a variety of services.,0,"Hiring, AR/VR/XR, TV Advertising, SEO, Social Media Marketing",Not mentioned,"Headquarters in Fort Worth, Texas, with offices throughout the U.S.",Not explicitly mentioned,https://www.dial911fordesign.com/,,(888) 722-1998,https://www.dial911fordesign.com/contact,59,0,1,66
inBeat Agency,Marketing and Advertising,"inBeat is the #1 Creative Growth Agency in North America specializing in influencer marketing, paid media, and user acquisition.",0,"Influencer Marketing, User Acquisition, Paid Media",Not found,North America,Not referenced,https://inbeat.agency/locations/new-york/influencer-marketing,,,Not found,58,0,1,66
Jives Media,Digital Marketing,"Jives Media is a full-service, performance marketing agency that works with real humans to drive real revenue.",0,"SEO, Paid Advertising, Social Media Management",Not mentioned,Not mentioned,"Google Ads, Social Media Advertising",https://www.jivesmedia.com/digital-marketing-agency-in-manhattan-ny/,info@jivesmedia.com,,Not explicitly found,56,1,1,68
Digital Drew SEM,Marketing,Digital Drewsem is a global digital marketing agency specializing in SEO and SEM services.,75,Hiring,www.linkedin.com/company/digital-drewsem,Global headquarters in New York City,"SEO, SEM",https://www.digitaldrewsem.com/,,,,60,0,1,64
Creative House,Digital Marketing,"Creative House is a digital marketing agency dedicated to creating experiences that transform brands, expand businesses, and improve lives through creativity, art, and technology.",0,Lead Generation,Not found,Not mentioned,Artificial Intelligence,https://creativehouse.marketing/,,,Not found,56,0,1,66
Aumcore,Marketing,Aumcore is a digital marketing agency with an innovative and creative approach.,0,,,Headquarters in NYC,"SiteCore, Shopify, WordPress, Magento, SalesForce, Drupal",https://www.aumcore.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,,,,65,0,0,55
Golden Web Media,Food and Beverage Marketing,Golden Web Media is a digital media agency specializing in making restaurants successful in NJ and NYC.,0,"Social Media Marketing, Website Development, Digital Advertising",,"New York City, USA",,https://goldenwebmedia.com/,,,,63,0,0,55
